1	4OR-A Quarterly Journal of Operations Research	16194500	0.918
2	Aaohn Journal	08910162	0.608
3	Aapg Bulletin	01491423	1.832
4	AAPS Journal	15507416	3.905
5	Aaps Pharmscitech	15309932	1.776
6	Aatcc Review	15328813	0.254
7	Abdominal Imaging	09428925	1.73
8	Abhandlungen Aus Dem Mathematischen Seminar Der Universitat Hamburg	00255858	0.222
9	Abstract and Applied Analysis	10853375	1.274
10	Academic Emergency Medicine	10696563	2.198
11	Academic Medicine	10402446	3.468
12	Academic Pediatrics	18762859	2.227
13	Academic Radiology	10766332	2.077
14	Accountability in Research-Policies and Quality Assurance	08989621	0.717
15	Accounts Of Chemical Research	00014842	24.348
16	Accreditation And Quality Assurance	09491775	1.048
17	Aci Materials Journal	0889325X	1.123
18	Aci Structural Journal	08893241	0.964
19	Acm Computing Surveys	03600300	4.043
20	ACM Journal on Emerging Technologies in Computing Systems	15504832	0.833
21	Acm Sigplan Notices	03621340	0.621
22	ACM Transactions on Algorithms	15496325	0.4
23	ACM Transactions on Applied Perception	15443558	1.051
24	ACM Transactions on Architecture and Code Optimization	15443566	0.597
25	ACM Transactions on Autonomous and Adaptive Systems	15564665	0.785
26	ACM Transactions on Computer-Human Interaction	10730516	0.574
27	ACM Transactions on Computational Logic	15293785	0.636
28	Acm Transactions On Computer Systems	07342071	0.615
29	Acm Transactions On Database Systems	03625915	0.75
30	Acm Transactions On Design Automation Of Electronic Systems	10844309	0.52
31	ACM Transactions on Embedded Computing Systems	15399087	0.68
32	Acm Transactions On Graphics	07300301	3.725
33	ACM Transactions on Information and System Security	10949224	0.86
34	Acm Transactions On Information Systems	10468188	1.3
35	ACM Transactions on Intelligent Systems and Technology	21576904	9.39
36	ACM Transactions on Internet Technology	15335399	0.577
37	ACM Transactions on Knowledge Discovery from Data	15564681	1.147
38	Acm Transactions On Mathematical Software	00983500	3.289
39	Acm Transactions On Modeling And Computer Simulation	10493301	0.829
40	ACM Transactions on Multimedia Computing Communications and Applications	15516857	0.904
41	Acm Transactions On Programming Languages And Systems	01640925	0.8
42	ACM Transactions on Reconfigurable Technology and Systems	19367406	0.408
43	ACM Transactions on Sensor Networks	15504859	1.463
44	Acm Transactions On Software Engineering And Methodology	1049331X	1.472
45	ACM Transactions on Storage	15533077	0.586
46	ACM Transactions on the Web	15591131	1.595
47	Acoustics Australia	08146039	0.364
48	Acoustical Physics	10637710	0.551
49	ACS Applied Materials & Interfaces	19448244	5.9
50	ACS Catalysis	21555435	7.572
51	ACS Chemical Biology	15548929	5.356
52	ACS Chemical Neuroscience	19487193	4.21
53	ACS Combinatorial Science	21568952	3.401
54	ACS Macro Letters	21611653	5.242
55	ACS Medicinal Chemistry Letters	19485875	3.073
56	ACS Nano	19360851	12.033
57	ACS Sustainable Chemistry & Engineering	21680485	0
58	ACS Synthetic Biology	21615063	3.951
59	Acsms Health & Fitness Journal	10915397	0.268
60	Acta Acustica United With Acustica	16101928	0.679
61	Acta Adriatica	00015113	0.483
62	Acta Agriculturae Scandinavica Section A-Animal Science	09064702	0.273
63	Acta Agriculturae Scandinavica Section B-Soil And Plant Science	09064710	0.65
64	Acta Alimentaria	01393006	0.427
65	Acta Anaesthesiologica Scandinavica	00015172	2.31
66	Acta Applicandae Mathematicae	01678019	0.702
67	Acta Arithmetica	00651036	0.421
68	Acta Astronautica	00945765	0.816
69	Acta Astronomica	00015237	1.955
70	Acta Biochimica Et Biophysica Sinica	16729145	2.089
71	Acta Biochimica Polonica	0001527X	1.389
72	Acta of Bioengineering and Biomechanics	1509409X	0.979
73	Acta Bioethica	1726569X	0.06
74	Acta Biologica Cracoviensia Series Botanica	00015296	0.662
75	Acta Biologica Hungarica	02365383	0.563
76	Acta Biomaterialia	17427061	5.684
77	Acta Bioquimica Clinica Latinoamericana	03252957	0
78	Acta Biotheoretica	00015342	1.231
79	Acta Botanica Brasilica	01023306	0.553
80	Acta Botanica Croatica	03650588	0.449
81	Acta Botanica Gallica	12538078	0.235
82	Acta Botanica Mexicana	01877151	0.629
83	Acta Cardiologica Sinica	10116842	0.845
84	Acta Cardiologica	00015385	0.561
85	Acta Carsologica	05836050	0.71
86	Acta Chimica Sinica	05677351	0.874
87	Acta Chimica Slovenica	13180207	0.81
88	Acta Chirurgica Belgica	00015458	0.44
89	Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca	00015415	0.415
90	Acta Chiropterologica	15081109	0.831
91	Acta Chromatographica	12332356	0.485
92	Acta Cirurgica Brasileira	01028650	0.57
93	Acta Clinica Belgica	00015512	0
94	Acta Clinica Croatica	03539466	0.421
95	Acta Crystallographica Section A	01087673	2.069
96	Acta Crystallographica Section B-Structural Science	01087681	2.095
97	Acta Crystallographica Section C-Crystal Structure Communications	01082701	0.535
98	Acta Crystallographica Section D-Biological Crystallography	09074449	7.232
99	Acta Crystallographica Section E-Structure Reports Online	16005368	0
100	Acta Crystallographica Section F-Structural Biology and Crystallization Communications	17443091	0.568
101	Acta Cytologica	00015547	1.562
102	Acta Dermato-Venereologica	00015555	4.244
