1	Africa Today	15271978	12
2	Chinese Chemical Letters	10018417	23
3	Sports Medicine and Arthroscopy Review	10628592	23
4	Journal of Baltic Studies	01629778	10
5	Physician and Sportsmedicine	00913847	22
6	Adansonia	12808571	6
7	Nordic Journal of English Studies	15027694	7
8	Jisuanji Xuebao/Chinese Journal of Computers	02544164	12
9	Management Learning	13505076	34
10	American Pharmaceutical Review	10998012	9
11	Journal of Conflict Resolution	00220027	36
12	Social Science Research	10960317	30
13	Biomedica	01204157	11
14	Interchange	08264805	6
15	Journal of Combinatorial Theory. Series B	10960902	23
16	International Journal of Lower Extremity Wounds	15347346	16
17	Review of Religious Research	0034673X	9
18	Utopian studies	21549648	4
19	Philosophy	00318191	23
20	Journal of Dong Hua University (English Edition)		3
21	Psychology in the Schools	15206807	31
22	Concepts In Magnetic Resonance Part A	15466086	13
23	Pollution Engineering	00323640	2
24	IEEE International Symposium on Electromagnetic Compatibility	01901494	13
25	Malaria Journal	14752875	51
26	Korean Journal for Food Science of Animal Resources	12258563	6
27	Frontiers in Immunology		24
28	Nature Photonics	17494885	122
29	Advances in Agronomy	00652113	28
30	Acta Materialia	13596454	68
31	Pakistan Journal of Biological Sciences	18125735	22
32	New Zealand Medical Journal	00288446	20
33	Journal of Hydroinformatics	14651734	16
34	Water Quality Research Journal of Canada	12013080	9
35	International maritime health	16419251	7
36	Pediatric endocrinology, diabetes, and metabolism	2081237X	8
37	Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales Serie A-Matematicas	15787303	10
38	Chemistry - An Asian Journal	18614728	49
39	Journal of Environmental Quality	00472425	40
40	European Journal of Anaesthesiology	13652346	36
41	Mammalia	00251461	12
42	Communications in Computational Physics	19917120	25
43	Acta Histriae	13180185	1
44	Nucleosides, Nucleotides and Nucleic Acids	15257770	13
45	Breast Journal	15244741	25
46	Appalachian Journal	00903779	2
47	Anuario de Estudios Americanos	19884273	1
48	American Political Science Review	15375943	54
49	Addiction	09652140	61
50	Central European Journal of Energetic Materials	17337178	9
51	Cosmos and History	18329101	6
52	Pesquisa Brasileira em Odontopediatria e Clinica Integrada	19834632	6
53	Current Opinion in Hematology	15317048	36
54	Asian Journal of Plant Sciences	18125697	16
55	Rivista di Psichiatria	00356484	7
56	BMC Oral Health	14726831	21
57	Helicobacter	15235378	34
58	Biomolecules & Therapeutics	19769148	10
59	Japanese Journal of Leprosy	13423681	2
60	Studies in Continuing Education	1470126X	13
61	Communication Research	15523810	31
62	Ocean Science	18120792	26
63	Sociological Forum	15737861	17
64	Atmosfera	01876236	10
65	Journal of Business Strategy	02756668	17
66	Cold Regions Science And Technology	0165232X	23
67	California Management Review	00081256	30
68	Reviews in American History	10806628	3
69	Cancer Microenvironment	18752292	21
70	Plant Cell	1532298X	93
71	Journal of Emotional and Behavioral Disorders	10634266	18
72	Property Management	02637472	14
73	Sign Systems Studies	14064243	5
74	Journal of Anglican Studies	17455278	3
75	African Archaeological Review	02630338	10
76	Language and Computers	18757294	9
77	Journal of Biological Inorganic Chemistry	14321327	32
78	British Journal of Anaesthesia	14716771	66
79	International Journal of Housing Markets and Analysis	17538270	7
80	Manufacturing Engineering	03610853	15
81	Journal of Experimental Zoology Part A-Ecological Genetics and Physiology	19325223	17
82	Palaeogeography Palaeoclimatology Palaeoecology	00310182	39
83	American Journal of Psychiatry	15357228	98
84	Plant Physiology and Biochemistry	18732690	38
85	Avant Scene Opera	07642873	1
86	Acta Chirurgica Belgica	00015458	12
87	Frontiers in Bioscience - Elite	19450508	28
88	Russian Journal of Organic Chemistry	16083393	12
89	Critical Arts	19926049	6
90	International Journal of Electronic Commerce	10864415	20
91	Agricultural Sciences in China	16712927	19
92	European Journal of Lipid Science and Technology	14389312	29
93	Quality in Health Care	09638172	31
94	Athenaeum	00046574	2
95	Behavioural Processes	03766357	27
96	Gefasschirurgie	14343932	6
97	African Development Review	14678268	16
98	Nova Economia	01036351	7
99	American Journal of Education	15496511	23
100	Schizophrenia Research	09209964	65
101	Slavonic and East European Review	00376795	4
102	Neuromethods	19406045	10
103	Habitat International	01973975	28
104	Growth and Change	14682257	17
105	Journal of Oncology Practice	15547477	23
106	Nucleic Acid Therapeutics	21593345	15
107	Australian and New Zealand Journal of Family Therapy	0814723X	11
108	Boletin Latinoamericano y del Caribe de Plantas Medicinales y Aromaticas	07177917	11
109	Discrete Dynamics in Nature and Society	1607887X	18
110	School Psychology Review	02796015	30
111	Journal of Discrete Algorithms	15708667	18
112	Journal of Maritime Research	16979133	3
113	Rhinology	03000729	30
114	Fisheries and Aquatic Science	22341757	31
115	Asian Journal of Andrology	1008682X	30
116	Macromolecules	15205835	84
117	Pharmacogenetics and Genomics	17446880	37
118	Journal of Marketing Research	15477193	50
